,mrt_station,lat,long
0,Jurong East MRT station,1.33315281585758,103.742286332403
1,Bukit Batok MRT station,1.3487108105756,103.749334517338
2,Bukit Gombak MRT station,1.35871216207818,103.751883836125
3,Choa Chu Kang MRT station,1.38536316540225,103.744370779756
4,Yew Tee MRT station,1.39747594171731,103.747418249132
5,Kranji MRT station,1.42508698073648,103.762137459497
6,Marsiling MRT station,1.43252114855026,103.774074641403
7,Woodlands MRT station,1.43605761708128,103.787938777173
8,Admiralty MRT station,1.44058856161847,103.800990519771
9,Sembawang MRT station,1.44905082158502,103.820046140211
10,Canberra MRT station,1.44307664075699,103.829702590959
11,Yishun MRT station,1.42944308477331,103.835005047246
12,Khatib MRT station,1.41738337009565,103.832979908243
13,Yio Chu Kang MRT station,1.38149882492597,103.845170704861
14,Ang Mo Kio MRT station,1.36942855699191,103.849455226442
15,Bishan MRT station,1.35131580146658,103.84914026532
16,Braddell MRT station,1.3404690010277,103.846799083148
17,Toa Payoh MRT station,1.33259672794159,103.847577286075
18,Novena MRT station,1.32044079120154,103.843825618748
19,Newton MRT station,1.3123189224097,103.837984594021
20,Orchard MRT station,1.30242224836722,103.823868523249
21,Somerset MRT station,1.30026416739006,103.839085753124
22,Dhoby Ghaut MRT station,1.29868872290409,103.846179896647
23,City Hall MRT station,1.29298990700923,103.852542630339
24,Raffles Place MRT station,1.28393326207164,103.851463066756
25,Marina Bay MRT station,1.27642735476716,103.854597776754
26,Marina South Pier MRT station,1.27102703612006,103.862447515736
27,Pasir Ris MRT station,1.37300805046319,103.949265083922
28,Tampines MRT station,1.34551530560119,103.938436971222
29,Simei MRT station,1.34319707851829,103.953377214378
30,Tanah Merah MRT station,1.32701524290982,103.946155931882
31,Bedok MRT station,1.32040148729112,103.957183823478
32,Kembangan MRT station,1.3210381335934,103.912947930851
33,Eunos MRT station,1.31978354916088,103.903225807255
34,Paya Lebar MRT station,1.3172473854035,103.892260753884
35,Aljunied MRT station,1.3164326118157,103.882906044385
36,Kallang MRT station,1.31148890998818,103.871386541754
37,Lavender MRT station,1.30737781747063,103.862767633888
38,Bugis MRT station,1.30046508509717,103.855706730933
39,City Hall MRT station,1.29298990700923,103.852542630339
40,Raffles Place MRT station,1.28393326207164,103.851463066756
41,Tanjong Pagar MRT station,1.27656829207824,103.846006679025
42,Outram Park MRT station,1.2802415328084,103.840052100136
43,Tiong Bahru MRT station,1.28610253588403,103.827445112691
44,Redhill MRT station,1.28963453412887,103.81674097205
45,Queenstown MRT station,1.29455085184931,103.806077155982
46,Commonwealth MRT station,1.30250199924325,103.798228523336
47,Buona Vista MRT station,1.3072237082044,103.790253514502
48,Dover MRT station,1.31140529320963,103.778637841909
49,Clementi MRT station,1.31511625277378,103.765191452888
50,Jurong East MRT station,1.33315281585758,103.742286332403
51,Chinese Garden MRT station,1.34224494823931,103.732766601621
52,Lakeside MRT station,1.34425911493819,103.720949087456
53,Boon Lay MRT station,1.33861033900695,103.706084900902
54,Pioneer MRT station,1.33758701106708,103.697321608474
55,Joo Koon MRT station,1.3277170408447,103.678374996165
56,Gul Circle MRT station,1.31947090075208,103.660530461345
57,Tuas Crescent MRT station,1.32102695598684,103.649078235627
58,Tuas West Road MRT station,1.32998504653102,103.639616648771
59,Tuas Link MRT station,1.34088242451105,103.636991425128
60,Expo MRT station,1.33538252614956,103.962374747451
61,Changi Airport MRT station,1.35747897447692,103.98788356959
62,HarbourFront MRT station,1.26538938374901,103.821530157095
63,Outram Park MRT station,1.2802415328084,103.840052100136
64,Chinatown MRT station,1.28422391919085,103.845143798953
65,Clarke Quay MRT station,1.28745211415803,103.846119192727
66,Dhoby Ghaut MRT station,1.29868872290409,103.846179896647
67,Little India MRT station,1.30717851119677,103.849862860439
68,Farrer Park MRT station,1.31314029963164,103.854754721344
69,Boon Keng MRT station,1.3199433920787,103.861746337392
70,Potong Pasir MRT station,1.33128580390245,103.86902783214
71,Woodleigh MRT station,1.33919004519388,103.87081830915
72,Serangoon MRT station,1.35063361526525,103.872771660431
73,Kovan MRT station,1.36017917065237,103.885064856353
74,Hougang MRT station,1.37129226620797,103.892380513029
75,Buangkok MRT station,1.38287001971672,103.893122569706
76,Sengkang MRT station,1.39169462601522,103.895484694279
77,Punggol MRT station,1.41492733388605,103.910166388177
78,Dhoby Ghaut MRT station,1.29868872290409,103.846179896647
79,Bras Basah MRT station,1.29686168649656,103.850667371637
80,Esplanade MRT station,1.2936577245386,103.855081226245
81,Promenade MRT station,1.29399798636232,103.860350000188
82,Nicoll Highway MRT station,1.29958736473477,103.864040115181
83,Stadium MRT station,1.3028124684707,103.875337711089
84,Mountbatten MRT station,1.30620190525331,103.882528081052
85,Dakota MRT station,1.30854798388121,103.889064718377
86,Paya Lebar MRT station,1.3172473854035,103.892260753884
87,MacPherson MRT station,1.32615024457361,103.889298600376
88,Tai Seng MRT station,1.33514564170352,103.888336109832
89,Bartley MRT station,1.34250117805245,103.880177899184
90,Serangoon MRT station,1.35063361526525,103.872771660431
91,Lorong Chuan MRT station,1.35163927757418,103.863945738773
92,Bishan MRT station,1.35131580146658,103.84914026532
93,Marymount MRT station,1.348707263451,103.839423132332
